stop_id,tract_id
1,1400000US17031252101
2,1400000US17031252101
4,1400000US17031252101
6,1400000US17031252102
7,1400000US17031252102
8,1400000US17031252102
9,1400000US17031252201
10,1400000US17031252201
11,1400000US17031252201
12,1400000US17031252202
13,1400000US17031252202
14,1400000US17031252202
15,1400000US17031252202
16,1400000US17031252202
18,1400000US17031260500
19,1400000US17031260600
20,1400000US17031260600
21,1400000US17031260700
22,1400000US17031260700
23,1400000US17031260800
24,1400000US17031260800
25,1400000US17031260800
26,1400000US17031271400
27,1400000US17031271400
29,1400000US17031271300
30,1400000US17031271200
31,1400000US17031271200
32,1400000US17031837000
34,1400000US17031837400
36,1400000US17031837400
38,1400000US17031280900
39,1400000US17031838000
40,1400000US17031838000
41,1400000US17031838000
42,1400000US17031838000
44,1400000US17031838000
48,1400000US17031838200
51,1400000US17031833100
52,1400000US17031838100
53,1400000US17031838100
54,1400000US17031838100
55,1400000US17031838100
56,1400000US17031833100
57,1400000US17031833100
59,1400000US17031833100
60,1400000US17031833100
61,1400000US17031833100
63,1400000US17031833100
64,1400000US17031281900
65,1400000US17031281900
67,1400000US17031281900
68,1400000US17031839100
69,1400000US17031839100
70,1400000US17031839100
71,1400000US17031839100
72,1400000US17031320400
73,1400000US17031320400
74,1400000US17031320400
75,1400000US17031320400
76,1400000US17031320400
77,1400000US17031320400
80,1400000US17031839100
84,1400000US17031281900
86,1400000US17031281900
88,1400000US17031281900
89,1400000US17031833100
92,1400000US17031833100
93,1400000US17031833100
96,1400000US17031833100
97,1400000US17031833100
99,1400000US17031838100
100,1400000US17031838100
101,1400000US17031838100
103,1400000US17031838100
107,1400000US17031838100
108,1400000US17031838100
111,1400000US17031838100
118,1400000US17031280800
119,1400000US17031837400
120,1400000US17031837000
122,1400000US17031271200
123,1400000US17031271200
124,1400000US17031271300
126,1400000US17031271400
127,1400000US17031271400
128,1400000US17031270500
129,1400000US17031260800
130,1400000US17031260800
131,1400000US17031260700
132,1400000US17031260700
133,1400000US17031260600
134,1400000US17031260600
135,1400000US17031260500
136,1400000US17031260500
138,1400000US17031252202
139,1400000US17031252202
140,1400000US17031252202
141,1400000US17031252202
142,1400000US17031252201
143,1400000US17031252201
144,1400000US17031252201
145,1400000US17031252102
146,1400000US17031252102
147,1400000US17031252102
148,1400000US17031252102
149,1400000US17031252102
150,1400000US17031252101
152,1400000US17031252101
153,1400000US17031252101
154,1400000US17031831400
155,1400000US17031252102
156,1400000US17031831400
157,1400000US17031831400
158,1400000US17031831400
159,1400000US17031831400
160,1400000US17031831400
161,1400000US17031831400
162,1400000US17031831400
163,1400000US17031260500
164,1400000US17031260500
165,1400000US17031260500
166,1400000US17031261000
167,1400000US17031843000
168,1400000US17031843000
169,1400000US17031261000
170,1400000US17031261000
171,1400000US17031261000
172,1400000US17031260900
174,1400000US17031270500
175,1400000US17031270500
177,1400000US17031271500
178,1400000US17031271500
179,1400000US17031837300
181,1400000US17031837300
182,1400000US17031837300
183,1400000US17031271800
185,1400000US17031837400
187,1400000US17031282700
188,1400000US17031282700
189,1400000US17031282800
190,1400000US17031838200
191,1400000US17031838200
193,1400000US17031838200
198,1400000US17031832900
200,1400000US17031833300
201,1400000US17031841900
205,1400000US17031841900
206,1400000US17031841900
207,1400000US17031841900
208,1400000US17031841900
210,1400000US17031832900
216,1400000US17031838000
217,1400000US17031838000
218,1400000US17031838000
220,1400000US17031282700
221,1400000US17031282700
222,1400000US17031837400
224,1400000US17031837000
225,1400000US17031837000
226,1400000US17031271200
227,1400000US17031271200
228,1400000US17031271300
